mu sigma
3.9021916944441104 3.6105698344699166
3.6964838339777497 3.340674058017111
2.254018003819711 3.8445129628326082
3.589177543229659 3.2700790883436937
3.8505556515275314 3.9911034104690413
2.2528556806121927 3.694452797408889
2.8387479928124426 4.304852941161657
2.2902245513584525 3.9323423190393934
2.263135502061329 3.846736219207676
2.340883282568533 4.012914286308581
2.314578919977222 3.536067417983909
2.786673670486468 3.192456937924274
2.2903800708198947 3.5925467695668822
2.799161011617097 3.191937942798704
3.1169950381711296 4.310870383673844
3.869836674107251 3.889582217033621
2.744701890331558 4.256612955600158
3.676429551944327 4.128736630328229
3.869050200956364 3.8758666520655205
3.5560781294619166 4.198670533788423
3.564980436965319 4.194114970574154
2.6232917556368793 4.203430224830203
2.284032289278473 3.7725884778241348
2.7239487161751414 4.24059738388244
3.6096560650468685 4.164678604228081
2.96368791174557 4.289762820179968
3.441516398501609 4.238128923368186
3.1082958137390415 4.2952503992662505
3.5149463908321095 3.2614617259828016
3.4001227435487342 4.248841855452422
3.234619761879596 4.282129361945919
3.323012947530887 4.26636295805717
3.816954274852076 3.532190571052485
3.297764183690833 3.191882369912581
2.8053966657182627 4.252788324990736
2.30503539574256 3.6676069138859657
2.3204511264677707 3.872161264091986
3.2594187229531957 4.270736223732852
2.6585148681823094 3.2681630282388676
3.8497769756875195 3.632076616461096
3.8464967869842086 3.623831306645714
2.953463977983514 3.184700204168295
3.1035448727536945 3.1775547975332383
2.63601696564119 4.179049044741488
3.14328291940321 4.274170890860623
3.461747764600367 4.208735212511011
2.460027766567448 3.411777823152493
2.9864569739640046 4.2699707477188795
3.266242152167078 4.258523683964794
3.5023072433225333 3.271643433330281
3.1795888134991475 3.1848384950056285
2.3186631787040173 3.7545457722893607
3.8445555046073583 3.69272598729262
2.325573575802352 3.7360533924576655
2.573023797457417 3.3336040738345627
3.2932296232489207 3.2102476325503213
2.579440922697833 3.3350085695220506
2.4542967714207626 4.017550228587707
2.3789204280053906 3.558401907973007
2.5286023999419287 3.37781842174661
3.44467805153268 4.186182104132554
2.393381453667691 3.538330057245912
2.9525900386668216 4.240498354511325
3.6511012347662195 4.068375373004123
3.774202014843558 3.925703326728428
3.7702497874748913 3.5322201560455104
